,prefcode,prefname,citycode,cityname,address
0,1,北海道,1101,中央区,北海道札幌市中央区
1,1,北海道,1102,北区,北海道札幌市北区
2,1,北海道,1103,東区,北海道札幌市東区
3,1,北海道,1104,白石区,北海道札幌市白石区
4,1,北海道,1105,豊平区,北海道札幌市豊平区
5,1,北海道,1106,南区,北海道札幌市南区
6,1,北海道,1107,西区,北海道札幌市西区
7,1,北海道,1108,厚別区,北海道札幌市厚別区
8,1,北海道,1109,手稲区,北海道札幌市手稲区
9,1,北海道,1110,清田区,北海道札幌市清田区
10,1,北海道,1202,函館市,北海道函館市
11,1,北海道,1203,小樽市,北海道小樽市
12,1,北海道,1204,旭川市,北海道旭川市
13,1,北海道,1205,室蘭市,北海道室蘭市
14,1,北海道,1206,釧路市,北海道釧路市
15,1,北海道,1207,帯広市,北海道帯広市
16,1,北海道,1208,北見市,北海道北見市
17,1,北海道,1209,夕張市,北海道夕張市
18,1,北海道,1210,岩見沢市,北海道岩見沢市
19,1,北海道,1211,網走市,北海道網走市
20,1,北海道,1212,留萌市,北海道留萌市
21,1,北海道,1213,苫小牧市,北海道苫小牧市
22,1,北海道,1214,稚内市,北海道稚内市
23,1,北海道,1215,美唄市,北海道美唄市
24,1,北海道,1216,芦別市,北海道芦別市
25,1,北海道,1217,江別市,北海道江別市
26,1,北海道,1218,赤平市,北海道赤平市
27,1,北海道,1219,紋別市,北海道紋別市
28,1,北海道,1220,士別市,北海道士別市
29,1,北海道,1221,名寄市,北海道名寄市
30,1,北海道,1222,三笠市,北海道三笠市
31,1,北海道,1223,根室市,北海道根室市
32,1,北海道,1224,千歳市,北海道千歳市
33,1,北海道,1225,滝川市,北海道滝川市
34,1,北海道,1226,砂川市,北海道砂川市
35,1,北海道,1227,歌志内市,北海道歌志内市
36,1,北海道,1228,深川市,北海道深川市
37,1,北海道,1229,富良野市,北海道富良野市
38,1,北海道,1230,登別市,北海道登別市
39,1,北海道,1231,恵庭市,北海道恵庭市
40,1,北海道,1233,伊達市,北海道伊達市
41,1,北海道,1234,北広島市,北海道北広島市
42,1,北海道,1235,石狩市,北海道石狩市
43,1,北海道,1236,北斗市,北海道北斗市
44,1,北海道,1303,当別町,北海道石狩郡当別町
45,1,北海道,1304,新篠津村,北海道石狩郡新篠津村
46,1,北海道,1331,松前町,北海道松前郡松前町
47,1,北海道,1332,福島町,北海道松前郡福島町
48,1,北海道,1333,知内町,北海道上磯郡知内町
49,1,北海道,1334,木古内町,北海道上磯郡木古内町
50,1,北海道,1337,七飯町,北海道亀田郡七飯町
51,1,北海道,1343,鹿部町,北海道茅部郡鹿部町
52,1,北海道,1345,森町,北海道茅部郡森町
53,1,北海道,1346,八雲町,北海道二海郡八雲町
54,1,北海道,1347,長万部町,北海道山越郡長万部町
55,1,北海道,1361,江差町,北海道檜山郡江差町
56,1,北海道,1362,上ノ国町,北海道檜山郡上ノ国町
57,1,北海道,1363,厚沢部町,北海道檜山郡厚沢部町
58,1,北海道,1364,乙部町,北海道爾志郡乙部町
59,1,北海道,1367,奥尻町,北海道奥尻郡奥尻町
60,1,北海道,1370,今金町,北海道瀬棚郡今金町
61,1,北海道,1371,せたな町,北海道久遠郡せたな町
62,1,北海道,1391,島牧村,北海道島牧郡島牧村
63,1,北海道,1392,寿都町,北海道寿都郡寿都町
64,1,北海道,1393,黒松内町,北海道寿都郡黒松内町
65,1,北海道,1394,蘭越町,北海道磯谷郡蘭越町
66,1,北海道,1395,ニセコ町,北海道虻田郡ニセコ町
67,1,北海道,1396,真狩村,北海道虻田郡真狩村
68,1,北海道,1397,留寿都村,北海道虻田郡留寿都村
69,1,北海道,1398,喜茂別町,北海道虻田郡喜茂別町
70,1,北海道,1399,京極町,北海道虻田郡京極町
71,1,北海道,1400,倶知安町,北海道虻田郡倶知安町
72,1,北海道,1401,共和町,北海道岩内郡共和町
73,1,北海道,1402,岩内町,北海道岩内郡岩内町
74,1,北海道,1403,泊村,北海道古宇郡泊村
75,1,北海道,1404,神恵内村,北海道古宇郡神恵内村
76,1,北海道,1405,積丹町,北海道積丹郡積丹町
