,datetime,cityname,InterpolateAkima,citycode
0,2019-06-01 10:00:00,Chiyoda,1039.0,13101.0
0,2019-06-01 10:00:00,Chuo,711.0,13102.0
0,2019-06-01 10:00:00,Minato,1031.0,13103.0
0,2019-06-01 10:00:00,Shinjuku,920.0,13104.0
0,2019-06-01 10:00:00,Bunkyo,365.0,13105.0
0,2019-06-01 10:00:00,Daito,505.0,13106.0
0,2019-06-01 10:00:00,Sumida,444.0,13107.0
0,2019-06-01 10:00:00,Koutou,727.0,13108.0
0,2019-06-01 10:00:00,Shinagawa,613.0,13109.0
0,2019-06-01 10:00:00,Meguro,379.0,13110.0
0,2019-06-01 10:00:00,Oota,780.0,13111.0
0,2019-06-01 10:00:00,Setagaya,912.0,13112.0
0,2019-06-01 10:00:00,Shibuya,889.0,13113.0
0,2019-06-01 10:00:00,Nakano,357.0,13114.0
0,2019-06-01 10:00:00,Suginami,518.0,13115.0
0,2019-06-01 10:00:00,Toshima,551.0,13116.0
0,2019-06-01 10:00:00,Kita,400.0,13117.0
0,2019-06-01 10:00:00,Arakawa,266.0,13118.0
0,2019-06-01 10:00:00,Itabashi,452.0,13119.0
0,2019-06-01 10:00:00,Nerima,506.0,13120.0
0,2019-06-01 10:00:00,Adachi,549.0,13121.0
0,2019-06-01 10:00:00,Katsushika,394.0,13122.0
0,2019-06-01 10:00:00,Edogawa,539.0,13123.0
0,2019-06-01 10:00:00,Hachioji,381.0,13201.0
0,2019-06-01 10:00:00,Tachikawa,202.0,13202.0
0,2019-06-01 10:00:00,Musashino,195.0,13203.0
0,2019-06-01 10:00:00,Mitaka,156.0,13204.0
0,2019-06-01 10:00:00,Ome,60.0,13205.0
0,2019-06-01 10:00:00,Fuchu,253.0,13206.0
0,2019-06-01 10:00:00,Akishima,92.0,13207.0
0,2019-06-01 10:00:00,Chofu,246.0,13208.0
0,2019-06-01 10:00:00,Machida,323.0,13209.0
1,2019-06-01 11:00:00,Chiyoda,1113.0,13101.0
1,2019-06-01 11:00:00,Chuo,744.0,13102.0
1,2019-06-01 11:00:00,Minato,1144.0,13103.0
1,2019-06-01 11:00:00,Shinjuku,1022.0,13104.0
1,2019-06-01 11:00:00,Bunkyo,398.0,13105.0
1,2019-06-01 11:00:00,Daito,573.0,13106.0
1,2019-06-01 11:00:00,Sumida,416.0,13107.0
1,2019-06-01 11:00:00,Koutou,809.0,13108.0
1,2019-06-01 11:00:00,Shinagawa,724.0,13109.0
1,2019-06-01 11:00:00,Meguro,422.0,13110.0
1,2019-06-01 11:00:00,Oota,847.0,13111.0
1,2019-06-01 11:00:00,Setagaya,956.0,13112.0
1,2019-06-01 11:00:00,Shibuya,988.0,13113.0
1,2019-06-01 11:00:00,Nakano,348.0,13114.0
1,2019-06-01 11:00:00,Suginami,591.0,13115.0
1,2019-06-01 11:00:00,Toshima,622.0,13116.0
1,2019-06-01 11:00:00,Kita,454.0,13117.0
1,2019-06-01 11:00:00,Arakawa,295.0,13118.0
1,2019-06-01 11:00:00,Itabashi,444.0,13119.0
1,2019-06-01 11:00:00,Nerima,538.0,13120.0
1,2019-06-01 11:00:00,Adachi,581.0,13121.0
1,2019-06-01 11:00:00,Katsushika,353.0,13122.0
1,2019-06-01 11:00:00,Edogawa,587.0,13123.0
1,2019-06-01 11:00:00,Hachioji,398.0,13201.0
1,2019-06-01 11:00:00,Tachikawa,206.0,13202.0
1,2019-06-01 11:00:00,Musashino,227.0,13203.0
1,2019-06-01 11:00:00,Mitaka,187.0,13204.0
