,citycode,dailyid,datetime
0,13101.0,1039,2019-06-01 10:00:00
1,13102.0,711,2019-06-01 10:00:00
2,13103.0,1031,2019-06-01 10:00:00
3,13104.0,920,2019-06-01 10:00:00
4,13105.0,365,2019-06-01 10:00:00
5,13106.0,505,2019-06-01 10:00:00
6,13107.0,444,2019-06-01 10:00:00
7,13108.0,727,2019-06-01 10:00:00
8,13109.0,613,2019-06-01 10:00:00
9,13110.0,379,2019-06-01 10:00:00
10,13111.0,780,2019-06-01 10:00:00
11,13112.0,912,2019-06-01 10:00:00
12,13113.0,889,2019-06-01 10:00:00
13,13114.0,357,2019-06-01 10:00:00
14,13115.0,518,2019-06-01 10:00:00
15,13116.0,551,2019-06-01 10:00:00
16,13117.0,400,2019-06-01 10:00:00
17,13118.0,266,2019-06-01 10:00:00
18,13119.0,452,2019-06-01 10:00:00
19,13120.0,506,2019-06-01 10:00:00
20,13121.0,549,2019-06-01 10:00:00
21,13122.0,394,2019-06-01 10:00:00
22,13123.0,539,2019-06-01 10:00:00
23,13201.0,381,2019-06-01 10:00:00
24,13202.0,202,2019-06-01 10:00:00
25,13203.0,195,2019-06-01 10:00:00
26,13204.0,156,2019-06-01 10:00:00
27,13205.0,60,2019-06-01 10:00:00
28,13206.0,253,2019-06-01 10:00:00
29,13207.0,92,2019-06-01 10:00:00
30,13208.0,246,2019-06-01 10:00:00
31,13209.0,323,2019-06-01 10:00:00
0,13101.0,1113,2019-06-01 11:00:00
1,13102.0,744,2019-06-01 11:00:00
2,13103.0,1144,2019-06-01 11:00:00
3,13104.0,1022,2019-06-01 11:00:00
4,13105.0,398,2019-06-01 11:00:00
5,13106.0,573,2019-06-01 11:00:00
6,13107.0,416,2019-06-01 11:00:00
7,13108.0,809,2019-06-01 11:00:00
8,13109.0,724,2019-06-01 11:00:00
9,13110.0,422,2019-06-01 11:00:00
10,13111.0,847,2019-06-01 11:00:00
11,13112.0,956,2019-06-01 11:00:00
12,13113.0,988,2019-06-01 11:00:00
13,13114.0,348,2019-06-01 11:00:00
14,13115.0,591,2019-06-01 11:00:00
15,13116.0,622,2019-06-01 11:00:00
16,13117.0,454,2019-06-01 11:00:00
17,13118.0,295,2019-06-01 11:00:00
18,13119.0,444,2019-06-01 11:00:00
19,13120.0,538,2019-06-01 11:00:00
20,13121.0,581,2019-06-01 11:00:00
21,13122.0,353,2019-06-01 11:00:00
22,13123.0,587,2019-06-01 11:00:00
23,13201.0,398,2019-06-01 11:00:00
24,13202.0,206,2019-06-01 11:00:00
25,13203.0,227,2019-06-01 11:00:00
26,13204.0,187,2019-06-01 11:00:00
27,13205.0,83,2019-06-01 11:00:00
28,13206.0,254,2019-06-01 11:00:00
29,13207.0,88,2019-06-01 11:00:00
30,13208.0,298,2019-06-01 11:00:00
31,13209.0,394,2019-06-01 11:00:00
0,13101.0,1245,2019-06-01 12:00:00
1,13102.0,839,2019-06-01 12:00:00
2,13103.0,1258,2019-06-01 12:00:00
3,13104.0,1147,2019-06-01 12:00:00
4,13105.0,459,2019-06-01 12:00:00
5,13106.0,667,2019-06-01 12:00:00
6,13107.0,438,2019-06-01 12:00:00
7,13108.0,839,2019-06-01 12:00:00
8,13109.0,701,2019-06-01 12:00:00
9,13110.0,473,2019-06-01 12:00:00
10,13111.0,830,2019-06-01 12:00:00
11,13112.0,1009,2019-06-01 12:00:00
12,13113.0,1166,2019-06-01 12:00:00
13,13114.0,362,2019-06-01 12:00:00
14,13115.0,548,2019-06-01 12:00:00
15,13116.0,628,2019-06-01 12:00:00
16,13117.0,426,2019-06-01 12:00:00
17,13118.0,310,2019-06-01 12:00:00
18,13119.0,466,2019-06-01 12:00:00
19,13120.0,551,2019-06-01 12:00:00
20,13121.0,594,2019-06-01 12:00:00
21,13122.0,401,2019-06-01 12:00:00
22,13123.0,561,2019-06-01 12:00:00
23,13201.0,416,2019-06-01 12:00:00
24,13202.0,206,2019-06-01 12:00:00
25,13203.0,233,2019-06-01 12:00:00
26,13204.0,205,2019-06-01 12:00:00
27,13205.0,78,2019-06-01 12:00:00
28,13206.0,251,2019-06-01 12:00:00
29,13207.0,85,2019-06-01 12:00:00
30,13208.0,304,2019-06-01 12:00:00
31,13209.0,367,2019-06-01 12:00:00
0,13101.0,1183,2019-06-01 13:00:00
1,13102.0,805,2019-06-01 13:00:00
2,13103.0,1192,2019-06-01 13:00:00
3,13104.0,1146,2019-06-01 13:00:00
4,13105.0,493,2019-06-01 13:00:00
5,13106.0,656,2019-06-01 13:00:00
6,13107.0,424,2019-06-01 13:00:00
7,13108.0,786,2019-06-01 13:00:00
8,13109.0,625,2019-06-01 13:00:00
9,13110.0,460,2019-06-01 13:00:00
10,13111.0,770,2019-06-01 13:00:00
11,13112.0,976,2019-06-01 13:00:00
12,13113.0,1052,2019-06-01 13:00:00
13,13114.0,332,2019-06-01 13:00:00
14,13115.0,507,2019-06-01 13:00:00
15,13116.0,653,2019-06-01 13:00:00
16,13117.0,405,2019-06-01 13:00:00
17,13118.0,277,2019-06-01 13:00:00
18,13119.0,498,2019-06-01 13:00:00
19,13120.0,524,2019-06-01 13:00:00
20,13121.0,594,2019-06-01 13:00:00
21,13122.0,405,2019-06-01 13:00:00
22,13123.0,568,2019-06-01 13:00:00
23,13201.0,386,2019-06-01 13:00:00
24,13202.0,205,2019-06-01 13:00:00
25,13203.0,264,2019-06-01 13:00:00
26,13204.0,182,2019-06-01 13:00:00
27,13205.0,71,2019-06-01 13:00:00
28,13206.0,242,2019-06-01 13:00:00
29,13207.0,93,2019-06-01 13:00:00
30,13208.0,282,2019-06-01 13:00:00
31,13209.0,369,2019-06-01 13:00:00
0,13101.0,1178,2019-06-01 14:00:00
1,13102.0,770,2019-06-01 14:00:00
2,13103.0,1193,2019-06-01 14:00:00
3,13104.0,1163,2019-06-01 14:00:00
4,13105.0,427,2019-06-01 14:00:00
5,13106.0,632,2019-06-01 14:00:00
6,13107.0,444,2019-06-01 14:00:00
7,13108.0,807,2019-06-01 14:00:00
8,13109.0,682,2019-06-01 14:00:00
9,13110.0,441,2019-06-01 14:00:00
10,13111.0,822,2019-06-01 14:00:00
11,13112.0,931,2019-06-01 14:00:00
12,13113.0,1146,2019-06-01 14:00:00
13,13114.0,356,2019-06-01 14:00:00
14,13115.0,511,2019-06-01 14:00:00
15,13116.0,613,2019-06-01 14:00:00
16,13117.0,389,2019-06-01 14:00:00
17,13118.0,266,2019-06-01 14:00:00
18,13119.0,475,2019-06-01 14:00:00
19,13120.0,498,2019-06-01 14:00:00
20,13121.0,592,2019-06-01 14:00:00
21,13122.0,410,2019-06-01 14:00:00
22,13123.0,558,2019-06-01 14:00:00
23,13201.0,413,2019-06-01 14:00:00
24,13202.0,214,2019-06-01 14:00:00
25,13203.0,246,2019-06-01 14:00:00
26,13204.0,186,2019-06-01 14:00:00
27,13205.0,78,2019-06-01 14:00:00
28,13206.0,223,2019-06-01 14:00:00
29,13207.0,86,2019-06-01 14:00:00
30,13208.0,255,2019-06-01 14:00:00
31,13209.0,336,2019-06-01 14:00:00
0,13101.0,1265,2019-06-01 15:00:00
1,13102.0,871,2019-06-01 15:00:00
2,13103.0,1221,2019-06-01 15:00:00
3,13104.0,1214,2019-06-01 15:00:00
4,13105.0,421,2019-06-01 15:00:00
5,13106.0,674,2019-06-01 15:00:00
6,13107.0,469,2019-06-01 15:00:00
7,13108.0,874,2019-06-01 15:00:00
8,13109.0,699,2019-06-01 15:00:00
9,13110.0,476,2019-06-01 15:00:00
10,13111.0,806,2019-06-01 15:00:00
11,13112.0,987,2019-06-01 15:00:00
12,13113.0,1172,2019-06-01 15:00:00
13,13114.0,380,2019-06-01 15:00:00
14,13115.0,518,2019-06-01 15:00:00
15,13116.0,703,2019-06-01 15:00:00
16,13117.0,441,2019-06-01 15:00:00
17,13118.0,279,2019-06-01 15:00:00
18,13119.0,513,2019-06-01 15:00:00
19,13120.0,570,2019-06-01 15:00:00
20,13121.0,629,2019-06-01 15:00:00
21,13122.0,403,2019-06-01 15:00:00
22,13123.0,581,2019-06-01 15:00:00
23,13201.0,401,2019-06-01 15:00:00
24,13202.0,251,2019-06-01 15:00:00
25,13203.0,250,2019-06-01 15:00:00
26,13204.0,198,2019-06-01 15:00:00
27,13205.0,68,2019-06-01 15:00:00
28,13206.0,267,2019-06-01 15:00:00
29,13207.0,113,2019-06-01 15:00:00
30,13208.0,281,2019-06-01 15:00:00
